ticker,sector,trade_date,open_price,high_price,low_price,close_price,volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
MARUTI,Automobile,2026-03-02,14407.0,14684.0,14204.0,14388.0,603744,-0.031567611227031,15040.4,15711.34,,0.014636648132287568,17292.0,-0.16793893129770993
MARUTI,Automobile,2026-03-04,14150.0,14184.0,13794.0,14158.0,710366,-0.01598554350847925,15009.2,15666.22,,0.01352417063836837,17292.0,-0.18123987971316216
MARUTI,Automobile,2026-03-05,14300.0,14570.0,14081.0,14415.0,448650,0.018152281395677372,14976.4,15621.54,,0.013409645362945252,17292.0,-0.16637751561415684
MARUTI,Automobile,2026-03-06,14339.0,14466.0,14115.0,14159.0,390629,-0.017759278529309697,14931.4,15573.02,,0.013849629273971067,17292.0,-0.1811820495026602
MARUTI,Automobile,2026-03-09,13800.0,13800.0,13365.0,13508.0,676224,-0.04597782329260536,14856.95,15509.12,,0.016864671804231526,17292.0,-0.21882951653944022
MARUTI,Automobile,2026-03-10,13721.0,13909.0,13505.0,13867.0,353715,0.026576843352087653,14801.4,15454.54,,0.018285259175894256,17292.0,-0.19806847096923433
MARUTI,Automobile,2026-03-11,13850.0,13948.0,13441.0,13497.0,392182,-0.02668205091223763,14718.95,15393.64,,0.018620310114821143,17292.0,-0.21946564885496184
MARUTI,Automobile,2026-03-12,13430.0,13430.0,12966.0,13011.0,544683,-0.03600800177817298,14598.9,15320.92,,0.018965806634096312,17292.0,-0.2475711311589174
MARUTI,Automobile,2026-03-13,12899.0,12962.0,12483.0,12591.0,939594,-0.032280378141572474,14462.15,15238.8,,0.019693077806627084,17292.0,-0.27185981956974326
MARUTI,Automobile,2026-03-16,12532.0,12874.0,12400.0,12757.0,1416170,0.01318402033198307,14338.15,15159.78,,0.02033275998487586,17292.0,-0.26226000462641685
MARUTI,Automobile,2026-03-17,12790.0,13100.0,12686.0,12972.0,1178941,0.016853492200360476,14234.2,15080.02,,0.021089083583996568,17292.0,-0.2498265093684941
MARUTI,Automobile,2026-03-18,13100.0,13176.0,13015.0,13048.0,458827,0.005858772741288876,14127.65,14997.88,,0.020993528634815576,17292.0,-0.24543141337034466
MARUTI,Automobile,2026-03-19,12768.0,12838.0,12505.0,12599.0,569346,-0.03441140404659715,13999.4,14904.02,,0.021778276139660876,17292.0,-0.2713971778857275
MARUTI,Automobile,2026-03-20,12605.0,12756.0,12556.0,12601.0,725481,0.0001587427573617184,13884.3,14819.86,,0.021779714304637564,17292.0,-0.27128151746472356
MARUTI,Automobile,2026-03-23,12501.0,12501.0,12278.0,12355.0,517985,-0.019522260138084224,13753.2,14733.68,,0.0216931271084301,17292.0,-0.28550774924820727
MARUTI,Automobile,2026-03-24,12600.0,12650.0,12332.0,12464.0,583568,0.008822339133953916,13622.8,14652.94,,0.02179437701672263,17292.0,-0.27920425630349294
MARUTI,Automobile,2026-03-25,12549.0,12780.0,12506.0,12711.0,540649,0.01981707317073167,13512.05,14575.52,,0.02273962752041645,17292.0,-0.2649201943095073
MARUTI,Automobile,2026-03-27,12626.0,12646.0,12342.0,12389.0,775339,-0.025332389269136946,13378.0,14494.78,,0.022676075523887358,17292.0,-0.2835415220911404
